index,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
28,Albania,ALB,1990.0,0.193413,0.695013,0.130782,3.327587,0.497616,2.139903,1.709465
29,Albania,ALB,1991.0,0.193393,0.695294,0.129102,3.330348,0.495687,2.141201,1.708135
30,Albania,ALB,1992.0,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053
31,Albania,ALB,1993.0,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585
32,Albania,ALB,1994.0,0.193491,0.696255,0.125402,3.340089,0.49263,2.15007,1.701142
33,Albania,ALB,1995.0,0.193559,0.696593,0.12532,3.343588,0.492058,2.154413,1.69912
34,Albania,ALB,1996.0,0.193675,0.696925,0.126148,3.346907,0.491589,2.16132,1.693187
35,Albania,ALB,1997.0,0.193865,0.697281,0.127301,3.350161,0.491548,2.170218,1.68162
36,Albania,ALB,1998.0,0.194094,0.6976,0.128839,3.353242,0.49229,2.17953,1.668865
37,Albania,ALB,1999.0,0.194328,0.697972,0.130729,3.35638,0.492855,2.188802,1.658553
38,Albania,ALB,2000.0,0.194541,0.698437,0.132704,3.360267,0.492401,2.195285,1.654338
39,Albania,ALB,2001.0,0.194812,0.698912,0.134932,3.364824,0.492592,2.201979,1.65904
40,Albania,ALB,2002.0,0.195214,0.699501,0.137541,3.37078,0.493751,2.208921,1.670158
41,Albania,ALB,2003.0,0.195677,0.700114,0.140335,3.376952,0.494039,2.216283,1.685102
42,Albania,ALB,2004.0,0.196139,0.700683,0.143047,3.382199,0.495812,2.222116,1.701433
43,Albania,ALB,2005.0,0.196538,0.701136,0.145738,3.385416,0.497503,2.223407,1.716585
44,Albania,ALB,2006.0,0.197004,0.701533,0.148561,3.38721,0.497997,2.222417,1.737167
45,Albania,ALB,2007.0,0.197636,0.701983,0.1517,3.388914,0.497442,2.217203,1.766903
46,Albania,ALB,2008.0,0.198306,0.7024,0.154945,3.390168,0.497332,2.210642,1.79855
47,Albania,ALB,2009.0,0.198905,0.702783,0.157738,3.391018,0.498324,2.206033,1.824955
48,Albania,ALB,2010.0,0.199308,0.703064,0.160337,3.391246,0.50027,2.203342,1.838566
49,Albania,ALB,2011.0,0.199588,0.703313,0.16242,3.391181,0.502703,2.202291,1.843256
50,Albania,ALB,2012.0,0.199863,0.703539,0.165446,3.390807,0.505621,2.202192,1.847375
51,Albania,ALB,2013.0,0.200134,0.70376,0.167105,3.390195,0.508049,2.203098,1.850358
52,Albania,ALB,2014.0,0.200392,0.70397,0.16941,3.389319,0.510089,2.203684,1.851517
53,Albania,ALB,2015.0,0.20063,0.704161,0.171095,3.388212,0.513158,2.204454,1.850252
54,Albania,ALB,2016.0,0.200845,0.704335,0.172627,3.386891,0.515036,2.206507,1.845972
55,Albania,ALB,2017.0,0.201025,0.70448,0.174046,3.385245,0.517614,2.208414,1.837955
3192,Lesotho,LSO,1990.0,0.153193,0.59936,0.107396,3.440384,0.708222,5.268593,1.600645
3193,Lesotho,LSO,1991.0,0.153341,0.599464,0.108187,3.441173,0.71157,5.237179,1.6029
3194,Lesotho,LSO,1992.0,0.153514,0.599597,0.109324,3.442155,0.714965,5.211806,1.605701
3195,Lesotho,LSO,1993.0,0.153694,0.599743,0.109969,3.443188,0.717776,5.192722,1.608752
3196,Lesotho,LSO,1994.0,0.153871,0.59991,0.110661,3.444316,0.720664,5.184715,1.611851
3197,Lesotho,LSO,1995.0,0.15403,0.600092,0.111659,3.44548,0.722679,5.189638,1.614747
3198,Lesotho,LSO,1996.0,0.154275,0.60043,0.112339,3.447684,0.723743,5.205749,1.619099
3199,Lesotho,LSO,1997.0,0.154669,0.600998,0.113607,3.451515,0.726577,5.23404,1.62545
3200,Lesotho,LSO,1998.0,0.155132,0.601674,0.114495,3.456105,0.729444,5.265851,1.63244
3201,Lesotho,LSO,1999.0,0.155579,0.602308,0.115496,3.460419,0.731567,5.298026,1.638688
3202,Lesotho,LSO,2000.0,0.155919,0.602737,0.116635,3.463329,0.731643,5.32702,1.642768
3203,Lesotho,LSO,2001.0,0.156244,0.602997,0.117454,3.464863,0.730129,5.353524,1.644992
3204,Lesotho,LSO,2002.0,0.156654,0.60322,0.118536,3.465885,0.725714,5.382628,1.646508
3205,Lesotho,LSO,2003.0,0.157087,0.603438,0.119666,3.466699,0.721871,5.412972,1.647929
3206,Lesotho,LSO,2004.0,0.157472,0.603643,0.120525,3.467455,0.718496,5.443641,1.649606
3207,Lesotho,LSO,2005.0,0.157743,0.603851,0.121506,3.468463,0.717647,5.472301,1.651897
3208,Lesotho,LSO,2006.0,0.157939,0.604057,0.122556,3.469188,0.721775,5.502849,1.656571
3209,Lesotho,LSO,2007.0,0.158141,0.60425,0.123302,3.469242,0.729371,5.534674,1.66376
3210,Lesotho,LSO,2008.0,0.158345,0.60443,0.124332,3.468947,0.740564,5.568149,1.671556
3211,Lesotho,LSO,2009.0,0.158547,0.6046,0.125463,3.468821,0.749495,5.591766,1.677848
3212,Lesotho,LSO,2010.0,0.158735,0.60474,0.126363,3.469242,0.755637,5.606717,1.680365
3213,Lesotho,LSO,2011.0,0.158956,0.604902,0.127995,3.470279,0.758902,5.610888,1.679977
3214,Lesotho,LSO,2012.0,0.15924,0.605077,0.128802,3.471442,0.761938,5.618396,1.678712
3215,Lesotho,LSO,2013.0,0.159581,0.605271,0.130242,3.472778,0.764596,5.622644,1.676441
3216,Lesotho,LSO,2014.0,0.159974,0.605501,0.132214,3.474465,0.766441,5.626747,1.673038
3217,Lesotho,LSO,2015.0,0.160409,0.605756,0.133521,3.476457,0.768028,5.63104,1.668428
3218,Lesotho,LSO,2016.0,0.160878,0.606023,0.135087,3.47872,0.768944,5.63577,1.662429
3219,Lesotho,LSO,2017.0,0.161376,0.606321,0.136801,3.481456,0.768875,5.636661,1.654872
3836,Morocco,MAR,1990.0,0.179996,0.767952,0.139397,4.912502,1.292635,5.468472,0.556005
3837,Morocco,MAR,1991.0,0.180251,0.768643,0.14057,4.915733,1.30819,5.45781,0.555654
3838,Morocco,MAR,1992.0,0.180507,0.769355,0.141364,4.919469,1.321855,5.4512,0.555433
3839,Morocco,MAR,1993.0,0.180751,0.770058,0.142562,4.923535,1.337585,5.452734,0.55533
3840,Morocco,MAR,1994.0,0.180966,0.770715,0.143547,4.927769,1.352073,5.456423,0.555303
3841,Morocco,MAR,1995.0,0.181141,0.771312,0.144181,4.932146,1.366213,5.465268,0.555326
3842,Morocco,MAR,1996.0,0.181317,0.771944,0.144995,4.9371,1.38266,5.49753,0.555715
3843,Morocco,MAR,1997.0,0.181531,0.772666,0.145979,4.942472,1.400869,5.563449,0.556561
3844,Morocco,MAR,1998.0,0.181755,0.773391,0.147221,4.948077,1.418073,5.641161,0.557583
3845,Morocco,MAR,1999.0,0.181982,0.774113,0.147951,4.953902,1.432246,5.707277,0.558559
3846,Morocco,MAR,2000.0,0.182177,0.774712,0.148861,4.959169,1.437965,5.739526,0.559201
3847,Morocco,MAR,2001.0,0.182425,0.775253,0.149808,4.964011,1.439404,5.744704,0.559584
3848,Morocco,MAR,2002.0,0.182769,0.775787,0.150603,4.968136,1.440023,5.743804,0.55996
3849,Morocco,MAR,2003.0,0.183143,0.776289,0.151782,4.971692,1.440338,5.737973,0.560352
3850,Morocco,MAR,2004.0,0.183485,0.776759,0.152873,4.97471,1.441529,5.73216,0.560831
3851,Morocco,MAR,2005.0,0.183725,0.777159,0.153938,4.976959,1.44333,5.728669,0.561437
3852,Morocco,MAR,2006.0,0.18389,0.777553,0.155092,4.978859,1.455431,5.725187,0.562736
3853,Morocco,MAR,2007.0,0.184043,0.777954,0.156956,4.980405,1.48056,5.719489,0.564882
3854,Morocco,MAR,2008.0,0.184195,0.77836,0.158754,4.981684,1.509504,5.715825,0.56735
3855,Morocco,MAR,2009.0,0.184356,0.778764,0.160515,4.982601,1.539857,5.707314,0.569634
3856,Morocco,MAR,2010.0,0.184528,0.779115,0.162212,4.982823,1.560392,5.694719,0.571185
3857,Morocco,MAR,2011.0,0.184731,0.77946,0.164069,4.982795,1.573678,5.679566,0.572186
3858,Morocco,MAR,2012.0,0.184973,0.779826,0.165906,4.982861,1.587962,5.652818,0.573102
3859,Morocco,MAR,2013.0,0.18525,0.780218,0.167708,4.983161,1.601102,5.61772,0.573896
3860,Morocco,MAR,2014.0,0.185552,0.7806,0.169519,4.98358,1.612359,5.574992,0.574499
3861,Morocco,MAR,2015.0,0.185884,0.781004,0.171629,4.984392,1.623631,5.526705,0.574894
3862,Morocco,MAR,2016.0,0.186242,0.78142,0.173458,4.985492,1.632084,5.472267,0.575041
3863,Morocco,MAR,2017.0,0.186616,0.781827,0.175569,4.986826,1.636353,5.413573,0.574866
3892,Myanmar,MMR,1990.0,0.190035,0.499968,0.074078,3.214909,0.554365,2.24431,0.833846
3893,Myanmar,MMR,1991.0,0.189887,0.500032,0.073908,3.216425,0.554288,2.246085,0.837158
3894,Myanmar,MMR,1992.0,0.189844,0.500104,0.07408,3.218049,0.554365,2.246402,0.84019
3895,Myanmar,MMR,1993.0,0.189881,0.500174,0.074227,3.219672,0.555014,2.248158,0.842785
3896,Myanmar,MMR,1994.0,0.189974,0.50025,0.074309,3.22142,0.554577,2.247234,0.844783
3897,Myanmar,MMR,1995.0,0.190102,0.500325,0.074512,3.223071,0.554466,2.248275,0.846068
3898,Myanmar,MMR,1996.0,0.190473,0.500438,0.074814,3.225263,0.556724,2.246978,0.847008
3899,Myanmar,MMR,1997.0,0.191204,0.500606,0.075694,3.227898,0.559727,2.24188,0.848038
3900,Myanmar,MMR,1998.0,0.192137,0.500825,0.07672,3.230876,0.564505,2.238113,0.848993
3901,Myanmar,MMR,1999.0,0.193102,0.501078,0.078133,3.234074,0.567142,2.234059,0.849656
3902,Myanmar,MMR,2000.0,0.193941,0.501361,0.079458,3.237244,0.56951,2.233269,0.849906
3903,Myanmar,MMR,2001.0,0.194816,0.501768,0.081153,3.241526,0.568841,2.235922,0.849706
3904,Myanmar,MMR,2002.0,0.195942,0.502359,0.082901,3.247281,0.568675,2.237573,0.849407
3905,Myanmar,MMR,2003.0,0.197218,0.503071,0.085543,3.253788,0.568645,2.239579,0.849256
3906,Myanmar,MMR,2004.0,0.19853,0.503811,0.088354,3.26031,0.568369,2.242549,0.849403
3907,Myanmar,MMR,2005.0,0.199749,0.504443,0.090669,3.265598,0.568402,2.244641,0.849989
3908,Myanmar,MMR,2006.0,0.200973,0.50501,0.093437,3.270468,0.56744,2.247225,0.852079
3909,Myanmar,MMR,2007.0,0.202338,0.505628,0.096383,3.275862,0.566608,2.248896,0.856
3910,Myanmar,MMR,2008.0,0.203752,0.506271,0.099571,3.281723,0.565027,2.250329,0.860446
3911,Myanmar,MMR,2009.0,0.205114,0.506868,0.102574,3.287142,0.564461,2.250691,0.864287
3912,Myanmar,MMR,2010.0,0.206333,0.507365,0.105711,3.291158,0.564225,2.252659,0.866461
3913,Myanmar,MMR,2011.0,0.207443,0.507792,0.108347,3.294603,0.565363,2.255905,0.867275
3914,Myanmar,MMR,2012.0,0.208559,0.508231,0.111296,3.298047,0.566976,2.26182,0.868095
3915,Myanmar,MMR,2013.0,0.209678,0.508697,0.114334,3.301534,0.568487,2.267493,0.868909
3916,Myanmar,MMR,2014.0,0.210781,0.509153,0.117105,3.304862,0.57025,2.274676,0.869608
3917,Myanmar,MMR,2015.0,0.211861,0.509602,0.120132,3.307999,0.572084,2.282712,0.870134
3918,Myanmar,MMR,2016.0,0.21291,0.510042,0.12292,3.311078,0.574688,2.290754,0.870418
3919,Myanmar,MMR,2017.0,0.213915,0.510456,0.125738,3.313936,0.576855,2.300982,0.870378
4536,Poland,POL,1990.0,0.197393,0.701197,0.169137,3.419404,0.748948,2.236951,1.835781
4537,Poland,POL,1991.0,0.197613,0.701498,0.168913,3.420909,0.750173,2.252338,1.850918
4538,Poland,POL,1992.0,0.197851,0.701811,0.169394,3.4224,0.751851,2.267182,1.86491
4539,Poland,POL,1993.0,0.198092,0.702114,0.169888,3.423674,0.753542,2.280377,1.877198
4540,Poland,POL,1994.0,0.198325,0.702425,0.170481,3.424783,0.756086,2.290941,1.887117
4541,Poland,POL,1995.0,0.198534,0.702738,0.171014,3.425899,0.758388,2.298427,1.893764
4542,Poland,POL,1996.0,0.198794,0.703025,0.172287,3.426696,0.763877,2.306339,1.897543
4543,Poland,POL,1997.0,0.199137,0.703213,0.174928,3.426574,0.773691,2.313489,1.90008
4544,Poland,POL,1998.0,0.199523,0.703397,0.178226,3.426331,0.786252,2.320303,1.902469
4545,Poland,POL,1999.0,0.199888,0.703572,0.181307,3.426259,0.798461,2.323037,1.905621
4546,Poland,POL,2000.0,0.200181,0.703781,0.184152,3.426843,0.806279,2.32588,1.910661
4547,Poland,POL,2001.0,0.200494,0.704119,0.186359,3.429623,0.813259,2.319913,1.920361
4548,Poland,POL,2002.0,0.200909,0.704585,0.188666,3.434662,0.82137,2.308672,1.934535
4549,Poland,POL,2003.0,0.201363,0.705095,0.190732,3.440402,0.828421,2.29521,1.949899
4550,Poland,POL,2004.0,0.201792,0.705578,0.192924,3.445345,0.83499,2.281669,1.963157
4551,Poland,POL,2005.0,0.202141,0.705975,0.19518,3.448073,0.836957,2.274279,1.971036
4552,Poland,POL,2006.0,0.202537,0.706487,0.197943,3.450077,0.835895,2.27436,1.977688
4553,Poland,POL,2007.0,0.203086,0.707248,0.200728,3.453276,0.832296,2.276089,1.98779
4554,Poland,POL,2008.0,0.203692,0.708097,0.204831,3.45686,0.826505,2.279985,1.998884
4555,Poland,POL,2009.0,0.20426,0.708863,0.207779,3.45996,0.819354,2.282486,2.008557
4556,Poland,POL,2010.0,0.204688,0.709368,0.211113,3.461724,0.815272,2.28315,2.014249
4557,Poland,POL,2011.0,0.205038,0.709695,0.213375,3.462333,0.811592,2.280113,2.017483
4558,Poland,POL,2012.0,0.205428,0.710045,0.215967,3.462553,0.808365,2.277805,2.021369
4559,Poland,POL,2013.0,0.205858,0.710433,0.218686,3.462549,0.804833,2.2738,2.02574
4560,Poland,POL,2014.0,0.206321,0.710861,0.221683,3.462358,0.801562,2.268372,2.030482
4561,Poland,POL,2015.0,0.206806,0.711308,0.224348,3.461991,0.797481,2.263833,2.035273
4562,Poland,POL,2016.0,0.207302,0.711771,0.226805,3.461527,0.793756,2.257029,2.039924
4563,Poland,POL,2017.0,0.20781,0.712264,0.229485,3.461075,0.790932,2.250472,2.044346
5964,Uganda,UGA,1990.0,0.152035,0.603531,0.091927,3.413289,0.518439,5.003476,1.261745
5965,Uganda,UGA,1991.0,0.152322,0.603495,0.092393,3.424637,0.520663,5.04276,1.269178
5966,Uganda,UGA,1992.0,0.152597,0.603475,0.092868,3.434904,0.522469,5.084955,1.275821
5967,Uganda,UGA,1993.0,0.152844,0.60347,0.093391,3.443724,0.524394,5.12866,1.28162
5968,Uganda,UGA,1994.0,0.153047,0.603484,0.093724,3.450805,0.525668,5.171294,1.286575
5969,Uganda,UGA,1995.0,0.153188,0.60352,0.094075,3.455968,0.526716,5.214289,1.290654
5970,Uganda,UGA,1996.0,0.153314,0.603602,0.094613,3.459596,0.528635,5.266653,1.293993
5971,Uganda,UGA,1997.0,0.153472,0.603732,0.09573,3.462584,0.530993,5.32873,1.296681
5972,Uganda,UGA,1998.0,0.153647,0.603878,0.096672,3.464963,0.534354,5.39061,1.29864
5973,Uganda,UGA,1999.0,0.153824,0.60402,0.097695,3.466915,0.538224,5.435796,1.299878
5974,Uganda,UGA,2000.0,0.153986,0.604133,0.098775,3.468727,0.53918,5.45755,1.300279
5975,Uganda,UGA,2001.0,0.154215,0.604232,0.099784,3.468761,0.539136,5.457277,1.300016
5976,Uganda,UGA,2002.0,0.154569,0.604369,0.100537,3.46677,0.53823,5.451291,1.29936
5977,Uganda,UGA,2003.0,0.154984,0.604533,0.101437,3.464162,0.537089,5.441429,1.298568
5978,Uganda,UGA,2004.0,0.1554,0.604713,0.102665,3.462308,0.53514,5.427879,1.297889
5979,Uganda,UGA,2005.0,0.155754,0.604899,0.104211,3.462659,0.534539,5.413234,1.297461
5980,Uganda,UGA,2006.0,0.156137,0.605145,0.105355,3.464904,0.533665,5.388014,1.295824
5981,Uganda,UGA,2007.0,0.156629,0.605487,0.106296,3.467935,0.533773,5.34141,1.292234
5982,Uganda,UGA,2008.0,0.157161,0.605914,0.107981,3.471669,0.532887,5.283417,1.288257
5983,Uganda,UGA,2009.0,0.157657,0.606382,0.109304,3.475837,0.532822,5.228532,1.285336
5984,Uganda,UGA,2010.0,0.158033,0.606817,0.11098,3.480064,0.533858,5.18502,1.284896
5985,Uganda,UGA,2011.0,0.158334,0.607245,0.112084,3.484571,0.534543,5.14784,1.286243
5986,Uganda,UGA,2012.0,0.158648,0.607709,0.113393,3.489902,0.534956,5.110316,1.287679
5987,Uganda,UGA,2013.0,0.158968,0.6082,0.114439,3.496055,0.536157,5.071931,1.28916
5988,Uganda,UGA,2014.0,0.159291,0.608725,0.115764,3.502962,0.536938,5.035458,1.290691
5989,Uganda,UGA,2015.0,0.159609,0.609275,0.117042,3.510482,0.539442,4.996004,1.292387
5990,Uganda,UGA,2016.0,0.159918,0.609847,0.118044,3.518378,0.541182,4.957013,1.294163
5991,Uganda,UGA,2017.0,0.160208,0.61042,0.119309,3.526626,0.542832,4.918028,1.295986
6076,United States,USA,1990.0,0.340897,0.653706,0.468676,6.576884,2.367794,4.677591,2.173751
6077,United States,USA,1991.0,0.338913,0.653953,0.473575,6.553351,2.345466,4.660871,2.139292
6078,United States,USA,1992.0,0.337343,0.654205,0.47861,6.536143,2.339515,4.651949,2.107931
6079,United States,USA,1993.0,0.336207,0.654431,0.483539,6.525536,2.347095,4.648701,2.080669
6080,United States,USA,1994.0,0.335536,0.65462,0.488235,6.522278,2.365738,4.649294,2.058632
6081,United States,USA,1995.0,0.335363,0.654721,0.492368,6.526489,2.392582,4.650869,2.042931
6082,United States,USA,1996.0,0.335806,0.654749,0.496752,6.578023,2.456048,4.662902,2.033987
6083,United States,USA,1997.0,0.336797,0.65472,0.50156,6.688847,2.564591,4.689154,2.03059
6084,United States,USA,1998.0,0.338085,0.654658,0.506483,6.818473,2.688823,4.720716,2.031176
6085,United States,USA,1999.0,0.33941,0.654564,0.511072,6.926351,2.800595,4.749991,2.034175
6086,United States,USA,2000.0,0.340512,0.654443,0.514863,6.971563,2.869426,4.766992,2.038026
6087,United States,USA,2001.0,0.341186,0.654371,0.518306,6.971995,2.905605,4.774031,2.043577
6088,United States,USA,2002.0,0.341483,0.654349,0.52217,6.971891,2.936109,4.778244,2.05148
6089,United States,USA,2003.0,0.341535,0.654343,0.52613,6.970935,2.96264,4.78168,2.059815
6090,United States,USA,2004.0,0.341472,0.654313,0.529332,6.968875,2.983414,4.785232,2.066706
6091,United States,USA,2005.0,0.341427,0.654228,0.531157,6.965249,2.998771,4.791258,2.070251
6092,United States,USA,2006.0,0.341031,0.65408,0.532178,6.937038,3.000826,4.793213,2.063498
6093,United States,USA,2007.0,0.340069,0.653896,0.533067,6.875454,2.989141,4.786623,2.045624
6094,United States,USA,2008.0,0.338901,0.653691,0.533768,6.801899,2.974336,4.776402,2.023935
6095,United States,USA,2009.0,0.337887,0.653468,0.534175,6.73779,2.966808,4.76595,2.005749
6096,United States,USA,2010.0,0.33739,0.653247,0.534076,6.704455,2.977144,4.761551,1.998437
6097,United States,USA,2011.0,0.33719,0.653008,0.533199,6.693384,3.007049,4.762322,1.999569
6098,United States,USA,2012.0,0.336852,0.652748,0.531514,6.682107,3.05234,4.765481,2.001951
6099,United States,USA,2013.0,0.336404,0.652479,0.528946,6.671047,3.110712,4.772422,2.005814
6100,United States,USA,2014.0,0.33586,0.652195,0.52599,6.660473,3.181115,4.782222,2.011345
6101,United States,USA,2015.0,0.335243,0.65189,0.522109,6.650662,3.262674,4.795954,2.018738
6102,United States,USA,2016.0,0.334578,0.651569,0.517728,6.642099,3.353142,4.813114,2.028263
6103,United States,USA,2017.0,0.33389,0.651236,0.512844,6.635055,3.452476,4.83561,2.040087
